# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.928024
# Diagonal elements of inverse mass matrix:
# 0.490316
-7.82783,0.966532,0.928024,1,1,0,7.83696,0.420003
-7.67291,1,0.928024,1,1,0,7.78141,0.369798
-7.64205,1,0.928024,2,3,0,7.66811,0.321421
-7.64512,0.943499,0.928024,2,3,0,7.95248,0.349501
-8.05377,0.931403,0.928024,2,3,0,8.11459,0.218801
-7.82781,1,0.928024,1,1,0,8.01279,0.253625
-7.87783,0.988213,0.928024,1,1,0,7.91448,0.244385
-7.73389,1,0.928024,1,1,0,7.84703,0.27578
-7.66159,1,0.928024,1,1,0,7.71493,0.304343
-7.99641,0.929331,0.928024,1,3,0,8.01691,0.226263
-9.13164,0.822324,0.928024,2,3,0,9.81756,0.136909
-8.85916,1,0.928024,1,1,0,9.25775,0.151724
-8.4837,1,0.928024,1,1,0,8.88312,0.177087
-8.12006,1,0.928024,1,1,0,8.44895,0.210936
-7.8168,1,0.928024,1,1,0,8.05437,0.25584
-8.35427,0.843723,0.928024,1,3,0,8.85767,0.504502
-9.57928,0.882943,0.928024,2,3,0,9.66145,0.614905
-7.6382,1,0.928024,1,3,0,9.22897,0.334373
-7.63948,0.903706,0.928024,2,3,0,8.16307,0.32639
-7.64372,0.991521,0.928024,2,3,0,7.68601,0.347771
-7.64372,0.430775,0.928024,1,3,0,10.2362,0.347771
-7.80016,0.962716,0.928024,1,3,0,7.80698,0.413275
-7.84638,0.985854,0.928024,1,1,0,7.88702,0.424249
-7.66145,1,0.928024,1,3,0,7.79196,0.363104
-7.72332,0.993714,0.928024,2,3,0,7.72381,0.278933
-7.72332,0.954523,0.928024,1,1,0,7.86696,0.278933
-7.77308,0.969386,0.928024,2,3,0,7.99103,0.265502
-8.29958,0.914674,0.928024,1,3,0,8.30368,0.192643
-7.70175,1,0.928024,1,3,0,8.18402,0.286102
-7.70608,0.999627,0.928024,2,3,0,7.72202,0.284568
-7.85112,0.953809,0.928024,2,3,0,8.07538,0.249163
