# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.15014
# Diagonal elements of inverse mass matrix:
# 0.350854
-7.6382,0.873801,1.15014,2,3,0,8.25753,0.33234
-7.65724,0.994254,1.15014,2,3,0,7.67014,0.307127
-7.71501,0.94017,1.15014,2,3,0,7.98407,0.387935
-8.51968,0.809501,1.15014,1,3,0,8.52014,0.523555
-7.88734,1,1.15014,1,1,0,8.33058,0.43302
-8.19706,0.898653,1.15014,1,1,0,8.24633,0.484165
-8.19706,0.928338,1.15014,1,1,0,8.49781,0.484165
-7.70633,1,1.15014,1,1,0,8.03142,0.384699
-9.30482,0.648442,1.15014,1,3,0,9.32175,0.594777
-9.16802,1,1.15014,1,1,0,9.76205,0.584003
-8.90643,1,1.15014,1,1,0,9.4759,0.561742
-8.39472,0.774915,1.15014,1,3,0,10.2741,0.184276
-8.39472,0.849662,1.15014,1,1,0,9.12061,0.184276
-9.9536,0.817289,1.15014,1,3,0,9.95478,0.103271
-9.06541,1,1.15014,1,1,0,9.91127,0.140292
-10.4879,0.813402,1.15014,1,1,0,10.5121,0.0872064
-7.74599,1,1.15014,2,3,0,9.77833,0.398245
-8.47656,0.775785,1.15014,1,3,0,8.98364,0.177643
-8.2054,1,1.15014,1,1,0,8.50062,0.201768
-7.92436,1,1.15014,1,1,0,8.16606,0.23675
-7.66235,1,1.15014,2,3,0,7.88191,0.363676
-8.37612,0.802666,1.15014,1,3,0,8.6531,0.185852
-8.61878,0.951963,1.15014,1,1,0,8.73893,0.167142
-8.1327,1,1.15014,1,1,0,8.55079,0.209516
-8.29778,0.963674,1.15014,1,1,0,8.38671,0.192809
-8.98764,0.871976,1.15014,1,1,0,9.02214,0.144435
-7.82086,1,1.15014,2,3,0,8.67342,0.418356
-8.2254,0.57668,1.15014,2,3,0,10.017,0.488026
-7.79345,1,1.15014,1,1,0,8.09316,0.411561
-7.67777,0.987753,1.15014,1,3,0,7.85474,0.295825
-7.71152,0.905811,1.15014,2,3,0,8.23338,0.282713
-7.66388,1,1.15014,2,3,0,7.69973,0.302983
-7.66388,0.622911,1.15014,1,3,0,9.25231,0.302983
-8.3179,0.832334,1.15014,1,3,0,8.46462,0.500017
-7.7373,0.975397,1.15014,1,3,0,8.43971,0.274803
-7.64366,1,1.15014,1,3,0,7.71221,0.319181
-10.8806,0.415046,1.15014,1,3,0,11.227,0.691341
-8.14932,1,1.15014,1,1,0,9.9644,0.47743
-8.17764,0.800992,1.15014,2,3,0,9.21676,0.204646
-7.82387,0.955778,1.15014,2,3,0,8.634,0.25441
-7.68877,1,1.15014,2,3,0,7.78749,0.291064
-7.69237,0.998968,1.15014,1,1,0,7.70655,0.289626
-7.8264,0.963407,1.15014,1,1,0,7.82817,0.253904
-7.9665,0.94918,1.15014,1,3,0,8.29245,0.448178
-8.51287,0.827338,1.15014,1,1,0,8.56902,0.522809
-8.51287,0.622962,1.15014,1,1,0,9.58515,0.522809
-7.86929,1,1.15014,2,3,0,8.31514,0.429248
-7.69404,0.983348,1.15014,1,3,0,7.95474,0.288974
-7.65149,1,1.15014,1,1,0,7.68183,0.311382
-7.68835,0.989205,1.15014,1,1,0,7.68885,0.291235
-7.80545,0.967778,1.15014,1,1,0,7.80747,0.258208
-8.80138,0.86041,1.15014,2,3,0,9.10924,0.552081
-7.84585,1,1.15014,1,1,0,8.48088,0.42413
-8.78501,0.70861,1.15014,1,3,0,9.63379,0.156211
-7.98768,1,1.15014,1,1,0,8.608,0.227463
-7.80609,1,1.15014,1,1,0,7.95861,0.258073
-7.70205,1,1.15014,2,3,0,7.78229,0.285995
-7.68901,1,1.15014,1,1,0,7.7108,0.290964
-7.77725,0.975526,1.15014,1,1,0,7.78109,0.26451
-7.77725,0.908414,1.15014,1,3,0,8.17255,0.26451
-8.89597,0.796788,1.15014,2,3,0,9.48672,0.149576
-8.26753,1,1.15014,1,1,0,8.80696,0.195645
-7.67824,0.921851,1.15014,2,3,0,8.78501,0.372538
-7.93596,0.897445,1.15014,2,3,0,8.20201,0.234963
-7.64379,0.988377,1.15014,1,3,0,7.92573,0.347856
-7.63817,0.99444,1.15014,2,3,0,7.67027,0.332999
-7.86267,0.941079,1.15014,1,3,0,7.88403,0.42783
-9.08755,0.654853,1.15014,1,1,0,9.09391,0.577403
-7.84891,1,1.15014,1,1,0,8.66416,0.424813
-7.67576,0.987597,1.15014,1,3,0,7.9016,0.296773
-7.65978,1,1.15014,2,3,0,7.67501,0.305469
-7.76081,0.640931,1.15014,2,3,0,9.99156,0.268519
-7.70613,1,1.15014,1,1,0,7.75639,0.284551
-7.70613,0.463962,1.15014,1,3,0,10.1682,0.284551
-7.64314,0.996256,1.15014,1,3,0,7.71138,0.346993
-8.04005,0.899505,1.15014,1,3,0,8.0556,0.460725
-8.04005,0.860212,1.15014,1,1,0,8.4099,0.460725
-8.04005,0.651009,1.15014,1,1,0,8.88968,0.460725
-8.4951,0.853758,1.15014,1,1,0,8.58035,0.520849
-8.9684,0.849213,1.15014,1,1,0,9.20055,0.567234
-7.71574,1,1.15014,1,3,0,8.54669,0.3882
-8.20032,0.845866,1.15014,1,3,0,8.52888,0.202287
-8.00264,1,1.15014,2,3,0,8.20951,0.225419
-8.65218,0.864618,1.15014,1,1,0,8.65923,0.16484
-7.65655,0.951802,1.15014,1,3,0,8.67571,0.359749
-9.03354,0.356703,1.15014,2,3,0,11.9386,0.141967
-7.68033,0.992333,1.15014,1,3,0,8.83189,0.294661
-7.63825,1,1.15014,1,3,0,7.67191,0.331632
-7.77404,0.95083,1.15014,2,3,0,7.89559,0.406392
-7.80316,0.990238,1.15014,1,1,0,7.84335,0.414031
-7.68656,1,1.15014,1,1,0,7.76942,0.376481
-7.67614,1,1.15014,2,3,0,7.69368,0.371479
-7.64689,0.87287,1.15014,2,3,0,8.27799,0.315528
-8.12938,0.887075,1.15014,1,3,0,8.17574,0.209887
-8.12938,0.11882,1.15014,1,3,0,16.1997,0.209887
-8.55793,0.911201,1.15014,1,1,0,8.60153,0.17149
-7.63825,0.998771,1.15014,2,3,0,8.50028,0.335066
-8.13107,0.899052,1.15014,2,3,0,8.29295,0.209698
-7.81025,1,1.15014,2,3,0,8.03645,0.415788
-8.30488,0.936207,1.15014,2,3,0,8.31569,0.192156
-7.661,1,1.15014,1,3,0,8.17508,0.304706
-7.71799,0.909957,1.15014,2,3,0,8.16368,0.280605
-7.79455,0.826129,1.15014,2,3,0,8.81567,0.260569
-7.89189,0.922448,1.15014,2,3,0,8.37808,0.43395
-8.03056,0.953431,1.15014,1,1,0,8.097,0.459172
-8.03056,0.620226,1.15014,1,3,0,10.1106,0.459172
-8.01633,0.816611,1.15014,2,3,0,8.98097,0.223595
-7.75031,1,1.15014,1,1,0,7.94895,0.271235
-7.66216,1,1.15014,1,1,0,7.72511,0.303996
-7.63903,0.999115,1.15014,1,3,0,7.66161,0.338984
-7.63822,1,1.15014,1,3,0,7.63879,0.334654
-8.30946,0.832428,1.15014,1,3,0,8.36248,0.498959
-7.74248,0.974107,1.15014,1,3,0,8.44319,0.273352
-7.67427,1,1.15014,2,3,0,7.7228,0.370513
-7.97114,0.92755,1.15014,1,3,0,7.97115,0.449009
-7.86491,1,1.15014,2,3,0,7.99579,0.428311
-7.80972,1,1.15014,1,1,0,7.89487,0.415659
-7.64095,0.998606,1.15014,1,3,0,7.78858,0.323242
-7.76663,0.965586,1.15014,1,3,0,7.7921,0.404327
-8.41075,0.494974,1.15014,2,3,0,10.5452,0.182939
-7.73603,1,1.15014,1,3,0,8.2489,0.275163
-8.31591,0.890623,1.15014,1,3,0,8.32247,0.191151
-7.7934,0.960594,1.15014,2,3,0,8.71054,0.260821
-7.7934,0.685791,1.15014,1,3,0,9.26634,0.260821
-7.64303,1,1.15014,2,3,0,7.78723,0.346831
-8.03168,0.803049,1.15014,2,3,0,8.60529,0.459356
-7.67755,1,1.15014,1,3,0,7.91361,0.372195
-7.96789,0.908033,1.15014,1,3,0,8.13771,0.230248
